Date,España,Panamá
2020-01-22,0.0,0
2020-01-23,0.0,0
2020-01-24,0.0,0
2020-01-25,0.0,0
2020-01-26,0.0,0
2020-01-27,0.0,0
2020-01-28,0.0,0
2020-01-29,0.0,0
2020-01-30,0.0,0
2020-01-31,0.0,0
2020-02-01,1.0,0
2020-02-02,1.0,0
2020-02-03,1.0,0
2020-02-04,1.0,0
2020-02-05,1.0,0
2020-02-06,1.0,0
2020-02-07,1.0,0
2020-02-08,1.0,0
2020-02-09,2.0,0
2020-02-10,2.0,0
2020-02-11,2.0,0
2020-02-12,2.0,0
2020-02-13,2.0,0
2020-02-14,2.0,0
2020-02-15,2.0,0
2020-02-16,2.0,0
2020-02-17,2.0,0
2020-02-18,2.0,0
2020-02-19,2.0,0
2020-02-20,2.0,0
2020-02-21,2.0,0
2020-02-22,2.0,0
2020-02-23,2.0,0
2020-02-24,2.0,0
2020-02-25,6.0,0
2020-02-26,13.0,0
2020-02-27,15.0,0
2020-02-28,32.0,0
2020-02-29,45.0,0
2020-03-01,84.0,0
2020-03-02,120.0,0
2020-03-03,165.0,0
2020-03-04,222.0,0
2020-03-05,259.0,0
2020-03-06,400.0,0
2020-03-07,500.0,0
2020-03-08,673.0,0
2020-03-09,1073.0,0
2020-03-10,1695.0,1
2020-03-11,2277.0,8
2020-03-12,2277.0,11
2020-03-13,5232.0,27
2020-03-14,6391.0,36
2020-03-15,7798.0,43
2020-03-16,9942.0,55
2020-03-17,11748.0,69
2020-03-18,13910.0,86
2020-03-19,17963.0,109
2020-03-20,20410.0,137
2020-03-21,25374.0,200
2020-03-22,28768.0,313
2020-03-23,35136.0,345
2020-03-24,39885.0,345
2020-03-25,49515.0,443
2020-03-26,57786.0,558
2020-03-27,65719.0,674
2020-03-28,73235.0,786
2020-03-29,80110.0,901
2020-03-30,87956.0,989
2020-03-31,95923.0,1181
2020-04-01,104118.0,1181
2020-04-02,112065.0,1317
2020-04-03,119199.0,1475
2020-04-04,126168.0,1673
2020-04-05,131646.0,1801
2020-04-06,136675.0,1988
2020-04-07,141942.0,2100
2020-04-08,148220.0,2249
2020-04-09,153222.0,2528
2020-04-10,158273.0,2752
2020-04-11,163027.0,2974
2020-04-12,166831.0,3234
2020-04-13,170099.0,3400
2020-04-14,172541.0,3472
2020-04-15,177644.0,3574
2020-04-16,184948.0,3751
2020-04-17,190839.0,4016
2020-04-18,191726.0,4210
2020-04-19,198674.0,4273
2020-04-20,200210.0,4467
2020-04-21,204178.0,4658
2020-04-22,208389.0,4821
2020-04-23,213024.0,5166
2020-04-24,202990.0,5338
2020-04-25,205905.0,5538
2020-04-26,207634.0,5779
2020-04-27,209465.0,6021
2020-04-28,210773.0,6021
2020-04-29,212917.0,6378
2020-04-30,213435.0,6532
2020-05-01,215216.0,6720
2020-05-02,216582.0,7090
2020-05-03,217466.0,7090
2020-05-04,218011.0,7197
2020-05-05,219329.0,7523
2020-05-06,220325.0,7731
2020-05-07,221447.0,7868
2020-05-08,222857.0,8070
2020-05-09,223578.0,8282
2020-05-10,224350.0,8448
2020-05-11,227436.0,8616
2020-05-12,228030.0,8783
2020-05-13,228691.0,8944
2020-05-14,229540.0,9118
2020-05-15,230183.0,9268
2020-05-16,230698.0,9449
2020-05-17,230698.0,9606
2020-05-18,231606.0,9726
2020-05-19,232037.0,9867
2020-05-20,232555.0,9977
2020-05-21,233037.0,10116
